Order_ID,Order_Date,Region,Segment,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Year,Month,Profit_Margin
ORD-105975,2024-01-10,West,Consumer,Electronics,Laptop,3,416.35,0.0,1948.52,428.67,2024,2024-01,0.22
ORD-103680,2024-01-10,South,Corporate,Sports,Cricket Bat,5,106.28,0.0,361.35,151.77,2024,2024-01,0.42
ORD-101664,2024-01-10,North,Consumer,Sports,Yoga Mat,4,95.5,0.1,316.3,132.85,2024,2024-01,0.42
ORD-102003,2024-01-10,North,Small Business,Electronics,Tablet,2,848.76,0.1,2284.01,502.48,2024,2024-01,0.22
ORD-100416,2024-01-10,North,Consumer,Sports,Yoga Mat,5,73.69,0.05,322.03,135.25,2024,2024-01,0.42
ORD-100292,2024-01-10,West,Consumer,Electronics,Headphones,5,791.79,0.0,6175.96,1358.71,2024,2024-01,0.22
ORD-101882,2024-01-11,South,Corporate,Sports,Cricket Bat,1,138.9,0.15,80.28,33.72,2024,2024-01,0.42
ORD-100798,2024-01-11,North,Corporate,Electronics,Tablet,1,497.18,0.05,706.12,155.35,2024,2024-01,0.22
ORD-102685,2024-01-11,East,Consumer,Electronics,Headphones,1,184.97,0.0,252.48,55.55,2024,2024-01,0.22
ORD-100800,2024-01-11,West,Corporate,Home & Kitchen,Air Fryer,4,165.95,0.0,836.39,317.83,2024,2024-01,0.38
ORD-105252,2024-01-11,North,Small Business,Beauty,Perfume,2,26.71,0.1,49.76,27.37,2024,2024-01,0.55
ORD-105873,2024-01-11,East,Corporate,Home & Kitchen,Lamp,1,119.03,0.1,118.11,44.88,2024,2024-01,0.38
ORD-105919,2024-01-11,East,Consumer,Beauty,Face Wash,1,33.74,0.1,28.7,15.78,2024,2024-01,0.55
ORD-103979,2024-01-11,West,Corporate,Sports,Dumbbell Set,1,134.13,0.0,128.76,54.08,2024,2024-01,0.42
ORD-103543,2024-01-11,North,Small Business,Electronics,Headphones,5,604.49,0.1,4066.71,894.68,2024,2024-01,0.22
ORD-103561,2024-01-11,South,Small Business,Beauty,Perfume,2,41.03,0.15,53.36,29.35,2024,2024-01,0.55
ORD-101095,2024-01-12,Central,Small Business,Apparel,Cap,4,87.29,0.0,248.78,111.95,2024,2024-01,0.45
ORD-104356,2024-01-12,South,Corporate,Beauty,Moisturizer,2,45.04,0.3,48.24,26.53,2024,2024-01,0.55
ORD-104923,2024-01-12,East,Corporate,Sports,Dumbbell Set,5,112.1,0.15,400.2,168.08,2024,2024-01,0.42
ORD-100692,2024-01-12,East,Corporate,Sports,Water Bottle,1,140.62,0.0,118.12,49.61,2024,2024-01,0.42
ORD-101053,2024-01-12,North,Small Business,Electronics,Laptop,5,740.1,0.15,4702.41,1034.53,2024,2024-01,0.22
ORD-104770,2024-01-12,Central,Corporate,Electronics,Headphones,3,614.44,0.0,1797.24,395.39,2024,2024-01,0.22
ORD-102175,2024-01-12,North,Corporate,Apparel,T-Shirt,4,86.08,0.15,319.74,143.88,2024,2024-01,0.45
ORD-102924,2024-01-12,North,Consumer,Home & Kitchen,Air Fryer,2,179.55,0.05,411.93,156.53,2024,2024-01,0.38
ORD-105736,2024-01-12,West,Consumer,Sports,Running Shoes,1,77.17,0.0,74.08,31.11,2024,2024-01,0.42
ORD-104545,2024-01-12,North,Corporate,Sports,Water Bottle,1,96.43,0.15,75.41,31.67,2024,2024-01,0.42
ORD-103615,2024-01-12,East,Consumer,Apparel,Cap,1,81.75,0.05,77.47,34.86,2024,2024-01,0.45
ORD-103335,2024-01-12,West,Corporate,Sports,Dumbbell Set,3,140.32,0.0,404.12,169.73,2024,2024-01,0.42
ORD-103648,2024-01-13,Central,Consumer,Apparel,Jeans,5,79.17,0.05,267.94,120.57,2024,2024-01,0.45
ORD-103649,2024-01-13,South,Consumer,Apparel,Jeans,2,65.65,0.0,106.02,47.71,2024,2024-01,0.45
ORD-102376,2024-01-13,East,Corporate,Apparel,Jacket,5,55.28,0.05,261.92,117.86,2024,2024-01,0.45
ORD-104945,2024-01-13,Central,Consumer,Apparel,Cap,1,89.64,0.1,57.48,25.87,2024,2024-01,0.45
ORD-105796,2024-01-13,East,Consumer,Apparel,Jacket,2,17.7,0.15,30.01,13.5,2024,2024-01,0.45
ORD-101539,2024-01-14,East,Consumer,Home & Kitchen,Lamp,2,144.23,0.05,302.13,114.81,2024,2024-01,0.38
ORD-105674,2024-01-14,Central,Consumer,Apparel,Sneakers,1,85.68,0.05,57.99,26.1,2024,2024-01,0.45
ORD-101721,2024-01-14,West,Consumer,Sports,Water Bottle,2,80.61,0.15,131.56,55.26,2024,2024-01,0.42
ORD-103843,2024-01-14,North,Corporate,Sports,Yoga Mat,1,55.67,0.0,51.22,21.51,2024,2024-01,0.42
ORD-100134,2024-01-14,East,Corporate,Home & Kitchen,Cookware Set,5,238.6,0.0,1315.28,499.81,2024,2024-01,0.38
ORD-100305,2024-01-14,South,Consumer,Electronics,Smartwatch,2,759.92,0.05,1595.45,351.0,2024,2024-01,0.22
ORD-103871,2024-01-15,North,Small Business,Apparel,Sneakers,1,14.54,0.0,15.88,7.15,2024,2024-01,0.45
ORD-101674,2024-01-15,South,Consumer,Home & Kitchen,Lamp,4,194.1,0.1,623.64,236.98,2024,2024-01,0.38
ORD-104033,2024-01-15,West,Consumer,Home & Kitchen,Air Fryer,5,158.5,0.3,698.98,265.61,2024,2024-01,0.38
ORD-100361,2024-01-15,South,Small Business,Beauty,Face Wash,4,47.09,0.0,144.1,79.26,2024,2024-01,0.55
ORD-103133,2024-01-15,Central,Consumer,Apparel,T-Shirt,1,60.71,0.1,38.93,17.52,2024,2024-01,0.45
ORD-101215,2024-01-15,South,Small Business,Apparel,Jeans,1,32.79,0.0,26.48,11.92,2024,2024-01,0.45
ORD-104366,2024-01-15,West,Corporate,Home & Kitchen,Cookware Set,2,166.89,0.0,420.56,159.81,2024,2024-01,0.38
ORD-104674,2024-01-15,West,Small Business,Home & Kitchen,Blender,5,238.52,0.15,1277.27,485.36,2024,2024-01,0.38
ORD-104767,2024-01-15,Central,Small Business,Apparel,Jacket,4,80.24,0.05,217.25,97.76,2024,2024-01,0.45
ORD-103295,2024-01-16,West,Consumer,Beauty,Shampoo,5,55.3,0.0,298.62,164.24,2024,2024-01,0.55
ORD-102655,2024-01-16,Central,Consumer,Beauty,Shampoo,5,9.58,0.0,32.33,17.78,2024,2024-01,0.55
ORD-103494,2024-01-16,Central,Consumer,Sports,Dumbbell Set,1,108.43,0.0,65.06,27.33,2024,2024-01,0.42
ORD-100031,2024-01-16,South,Consumer,Sports,Running Shoes,2,14.43,0.1,17.66,7.42,2024,2024-01,0.42
ORD-101339,2024-01-16,East,Consumer,Sports,Water Bottle,4,59.86,0.05,191.07,80.25,2024,2024-01,0.42
ORD-104596,2024-01-17,South,Consumer,Apparel,T-Shirt,5,48.87,0.0,197.31,88.79,2024,2024-01,0.45
ORD-103788,2024-01-17,West,Corporate,Beauty,Moisturizer,1,50.94,0.1,49.51,27.23,2024,2024-01,0.55
ORD-105326,2024-01-17,South,Consumer,Beauty,Face Wash,2,41.37,0.1,56.97,31.33,2024,2024-01,0.55
ORD-100034,2024-01-17,East,Consumer,Apparel,Jacket,4,40.83,0.1,146.62,65.98,2024,2024-01,0.45
ORD-100709,2024-01-17,Central,Corporate,Sports,Water Bottle,5,127.13,0.15,324.18,136.16,2024,2024-01,0.42
ORD-102975,2024-01-17,East,Consumer,Beauty,Lipstick,3,52.29,0.0,148.24,81.53,2024,2024-01,0.55
ORD-103873,2024-01-17,East,Small Business,Apparel,Jeans,4,28.2,0.1,101.27,45.57,2024,2024-01,0.45
ORD-101907,2024-01-17,East,Corporate,Apparel,Sneakers,3,69.86,0.05,198.6,89.37,2024,2024-01,0.45
ORD-100909,2024-01-17,Central,Corporate,Apparel,T-Shirt,3,43.26,0.05,87.84,39.53,2024,2024-01,0.45
ORD-105108,2024-01-17,East,Consumer,Home & Kitchen,Lamp,5,113.49,0.15,531.77,202.07,2024,2024-01,0.38
ORD-104047,2024-01-17,West,Consumer,Beauty,Shampoo,3,20.46,0.0,66.29,36.46,2024,2024-01,0.55
ORD-104191,2024-01-17,East,Consumer,Beauty,Shampoo,1,57.99,0.3,38.36,21.1,2024,2024-01,0.55
ORD-100521,2024-01-18,East,Consumer,Home & Kitchen,Cookware Set,5,191.38,0.1,949.48,360.8,2024,2024-01,0.38
ORD-100405,2024-01-18,Central,Consumer,Apparel,Cap,3,13.94,0.2,23.84,-30.22,2024,2024-01,-1.268
ORD-102688,2024-01-18,West,Consumer,Apparel,Jacket,5,86.77,0.0,494.59,222.57,2024,2024-01,0.45
ORD-101000,2024-01-18,Central,Consumer,Electronics,Smartwatch,1,614.79,0.3,419.59,92.31,2024,2024-01,0.22
ORD-101007,2024-01-18,South,Consumer,Apparel,Jacket,5,76.95,0.2,248.55,111.85,2024,2024-01,0.45
ORD-104064,2024-01-18,North,Consumer,Electronics,Smartwatch,1,156.31,0.2,186.95,41.13,2024,2024-01,0.22
ORD-105894,2024-01-18,West,Consumer,Apparel,T-Shirt,3,66.06,0.0,225.93,101.67,2024,2024-01,0.45
ORD-101010,2024-01-18,East,Consumer,Apparel,Jeans,1,39.74,0.0,39.64,17.84,2024,2024-01,0.45
ORD-104399,2024-01-19,Central,Corporate,Home & Kitchen,Blender,2,98.15,0.0,154.59,58.74,2024,2024-01,0.38
ORD-103514,2024-01-19,North,Consumer,Electronics,Headphones,5,283.2,0.1,1905.23,419.15,2024,2024-01,0.22
ORD-101445,2024-01-19,East,Corporate,Home & Kitchen,Blender,5,156.77,0.0,864.19,328.39,2024,2024-01,0.38
ORD-105689,2024-01-19,South,Consumer,Beauty,Shampoo,3,47.24,0.1,97.57,53.66,2024,2024-01,0.55
ORD-103661,2024-01-19,East,Consumer,Home & Kitchen,Cookware Set,5,15.53,0.0,85.61,32.53,2024,2024-01,0.38
ORD-101973,2024-01-19,South,Consumer,Apparel,T-Shirt,4,32.29,0.15,88.65,39.89,2024,2024-01,0.45
ORD-100626,2024-01-19,North,Consumer,Electronics,Headphones,1,753.31,0.05,1069.89,235.38,2024,2024-01,0.22
ORD-101055,2024-01-19,South,Small Business,Sports,Dumbbell Set,1,141.02,0.15,81.51,34.23,2024,2024-01,0.42
ORD-104139,2024-01-19,South,Small Business,Beauty,Moisturizer,5,14.29,0.05,51.93,28.56,2024,2024-01,0.55
ORD-105445,2024-01-20,East,Consumer,Electronics,Laptop,3,441.18,0.1,1625.97,357.71,2024,2024-01,0.22
ORD-101591,2024-01-20,South,Consumer,Sports,Cricket Bat,5,140.75,0.1,430.7,180.89,2024,2024-01,0.42
ORD-102076,2024-01-20,North,Consumer,Apparel,Jacket,4,16.45,0.0,71.89,32.35,2024,2024-01,0.45
ORD-104309,2024-01-20,North,Consumer,Apparel,T-Shirt,4,15.37,0.0,67.17,30.23,2024,2024-01,0.45
ORD-101284,2024-01-20,East,Consumer,Electronics,Smartphone,4,412.17,0.0,2250.45,495.1,2024,2024-01,0.22
ORD-100173,2024-01-21,East,Consumer,Electronics,Laptop,5,327.44,0.0,2234.78,491.65,2024,2024-01,0.22
ORD-105552,2024-01-21,West,Consumer,Beauty,Face Wash,2,48.92,0.0,105.67,58.12,2024,2024-01,0.55
ORD-101034,2024-01-21,Central,Corporate,Beauty,Face Wash,3,50.16,0.15,86.34,47.49,2024,2024-01,0.55
ORD-101687,2024-01-21,Central,Corporate,Apparel,Cap,1,74.23,0.0,52.89,23.8,2024,2024-01,0.45
ORD-101873,2024-01-21,West,Corporate,Sports,Water Bottle,3,9.42,0.1,24.42,10.26,2024,2024-01,0.42
ORD-101706,2024-01-21,Central,Corporate,Beauty,Perfume,5,57.27,0.05,183.62,100.99,2024,2024-01,0.55
ORD-105048,2024-01-21,East,Corporate,Electronics,Tablet,3,611.49,0.1,2253.65,495.8,2024,2024-01,0.22
ORD-102223,2024-01-21,West,Consumer,Sports,Running Shoes,3,141.71,0.1,367.31,154.27,2024,2024-01,0.42
ORD-100150,2024-01-21,East,Consumer,Apparel,Jacket,4,61.28,0.1,220.06,99.03,2024,2024-01,0.45
ORD-100784,2024-01-22,West,Consumer,Apparel,T-Shirt,4,49.41,0.05,214.04,96.32,2024,2024-01,0.45
ORD-105513,2024-01-22,North,Consumer,Electronics,Tablet,5,599.0,0.0,4477.52,985.05,2024,2024-01,0.22
ORD-105557,2024-01-22,North,Small Business,Electronics,Smartwatch,5,770.8,0.15,4897.47,1077.44,2024,2024-01,0.22
ORD-101239,2024-01-22,North,Corporate,Apparel,T-Shirt,3,64.33,0.0,210.84,94.88,2024,2024-01,0.45
ORD-100242,2024-01-22,East,Consumer,Electronics,Headphones,2,218.1,0.05,565.64,124.44,2024,2024-01,0.22
ORD-104204,2024-01-22,North,Small Business,Home & Kitchen,Air Fryer,4,35.27,0.1,153.32,58.26,2024,2024-01,0.38
ORD-100595,2024-01-23,West,Consumer,Home & Kitchen,Blender,5,77.78,0.0,490.01,186.2,2024,2024-01,0.38
ORD-105821,2024-01-23,Central,Consumer,Apparel,Jacket,2,48.63,0.05,65.83,29.62,2024,2024-01,0.45
ORD-102178,2024-01-23,North,Small Business,Sports,Water Bottle,3,145.11,0.15,340.43,142.98,2024,2024-01,0.42
ORD-102196,2024-01-23,East,Consumer,Beauty,Shampoo,4,42.6,0.05,152.98,84.14,2024,2024-01,0.55
ORD-104030,2024-01-23,Central,Consumer,Electronics,Smartphone,3,361.0,0.2,844.74,139.44,2024,2024-01,0.165
ORD-101035,2024-01-23,South,Consumer,Beauty,Face Wash,4,9.07,0.05,26.37,14.5,2024,2024-01,0.55
ORD-104707,2024-01-23,South,Consumer,Sports,Water Bottle,1,113.79,0.0,77.38,32.5,2024,2024-01,0.42
ORD-101110,2024-01-24,South,Consumer,Home & Kitchen,Cookware Set,4,63.66,0.3,159.09,60.45,2024,2024-01,0.38
ORD-100434,2024-01-24,South,Consumer,Electronics,Laptop,1,564.44,0.0,623.71,137.22,2024,2024-01,0.22
ORD-103917,2024-01-24,West,Corporate,Home & Kitchen,Air Fryer,1,236.67,0.0,298.2,113.32,2024,2024-01,0.38
ORD-101249,2024-01-24,Central,Corporate,Apparel,T-Shirt,5,18.0,0.0,64.12,28.85,2024,2024-01,0.45
ORD-105849,2024-01-25,West,Corporate,Electronics,Tablet,4,742.57,0.05,4401.95,968.43,2024,2024-01,0.22
ORD-103391,2024-01-25,Central,Corporate,Electronics,Laptop,4,306.2,0.0,1194.18,262.72,2024,2024-01,0.22
ORD-102312,2024-01-25,South,Consumer,Electronics,Tablet,3,227.87,0.05,717.62,157.88,2024,2024-01,0.22
ORD-104955,2024-01-25,South,Corporate,Apparel,Jeans,3,29.86,0.0,72.34,32.55,2024,2024-01,0.45
ORD-103322,2024-01-26,North,Corporate,Sports,Dumbbell Set,2,115.99,0.3,149.4,62.75,2024,2024-01,0.42
ORD-105100,2024-01-26,North,Corporate,Home & Kitchen,Cookware Set,1,154.68,0.0,186.78,70.98,2024,2024-01,0.38
ORD-103757,2024-01-26,North,Consumer,Sports,Water Bottle,4,61.14,0.1,202.5,85.05,2024,2024-01,0.42
ORD-103806,2024-01-26,South,Corporate,Apparel,Cap,5,68.32,0.05,262.05,117.92,2024,2024-01,0.45
ORD-101640,2024-01-26,West,Consumer,Sports,Water Bottle,4,26.2,0.05,95.58,40.14,2024,2024-01,0.42
ORD-102020,2024-01-26,Central,Small Business,Sports,Dumbbell Set,5,17.73,0.0,53.19,22.34,2024,2024-01,0.42
ORD-102349,2024-01-26,East,Consumer,Home & Kitchen,Blender,3,172.49,0.05,541.99,205.96,2024,2024-01,0.38
ORD-101065,2024-01-26,West,Consumer,Sports,Water Bottle,4,63.63,0.2,195.47,82.1,2024,2024-01,0.42
ORD-101643,2024-01-26,Central,Consumer,Apparel,Cap,2,46.3,0.15,56.08,25.24,2024,2024-01,0.45
ORD-103749,2024-01-27,North,Corporate,Beauty,Moisturizer,4,12.97,0.1,48.33,26.58,2024,2024-01,0.55
ORD-101325,2024-01-27,South,Consumer,Electronics,Smartwatch,2,513.86,0.15,965.29,212.36,2024,2024-01,0.22
ORD-104167,2024-01-27,West,Corporate,Beauty,Face Wash,5,29.81,0.1,144.88,79.68,2024,2024-01,0.55
ORD-103695,2024-01-27,North,Small Business,Electronics,Laptop,4,395.12,0.15,2008.39,441.85,2024,2024-01,0.22
ORD-104428,2024-01-27,South,Consumer,Sports,Water Bottle,1,132.03,0.1,80.8,33.94,2024,2024-01,0.42
ORD-103020,2024-01-27,North,Consumer,Sports,Water Bottle,4,14.36,0.05,50.2,21.08,2024,2024-01,0.42
ORD-102773,2024-01-27,West,Consumer,Electronics,Smartwatch,4,93.05,0.0,580.63,127.74,2024,2024-01,0.22
ORD-102576,2024-01-27,North,Consumer,Apparel,Cap,4,35.88,0.15,133.28,59.98,2024,2024-01,0.45
ORD-101637,2024-01-27,West,Corporate,Electronics,Headphones,5,569.84,0.05,4222.51,928.95,2024,2024-01,0.22
ORD-102156,2024-01-27,South,Consumer,Apparel,T-Shirt,3,67.29,0.2,130.41,58.68,2024,2024-01,0.45
ORD-104747,2024-01-27,South,Corporate,Home & Kitchen,Air Fryer,1,82.95,0.1,66.63,25.32,2024,2024-01,0.38
ORD-103856,2024-01-27,South,Consumer,Home & Kitchen,Air Fryer,1,120.74,0.0,107.76,40.95,2024,2024-01,0.38
ORD-102861,2024-01-28,North,Small Business,Apparel,Sneakers,5,81.1,0.15,376.56,169.45,2024,2024-01,0.45
ORD-100483,2024-01-28,South,Consumer,Sports,Dumbbell Set,1,76.66,0.1,46.92,19.71,2024,2024-01,0.42
ORD-103246,2024-01-28,Central,Consumer,Sports,Yoga Mat,4,12.4,0.05,28.27,11.87,2024,2024-01,0.42
ORD-105358,2024-01-28,South,Corporate,Apparel,Jeans,1,30.92,0.15,21.22,9.55,2024,2024-01,0.45
ORD-105812,2024-01-28,East,Consumer,Beauty,Shampoo,5,53.93,0.1,229.34,126.14,2024,2024-01,0.55
ORD-103811,2024-01-29,Central,Corporate,Apparel,Cap,5,53.18,0.1,170.51,76.73,2024,2024-01,0.45
ORD-102692,2024-01-29,South,Consumer,Electronics,Headphones,1,521.93,0.0,576.73,126.88,2024,2024-01,0.22
ORD-102716,2024-01-29,West,Corporate,Home & Kitchen,Vacuum Cleaner,3,140.52,0.0,531.17,201.84,2024,2024-01,0.38
ORD-104170,2024-01-29,East,Consumer,Beauty,Face Wash,4,20.34,0.15,65.35,35.94,2024,2024-01,0.55
ORD-103509,2024-01-29,West,Small Business,Home & Kitchen,Vacuum Cleaner,2,180.66,0.2,364.21,138.4,2024,2024-01,0.38
ORD-104960,2024-01-29,West,Consumer,Sports,Running Shoes,4,126.67,0.05,462.09,194.08,2024,2024-01,0.42
ORD-105269,2024-01-29,West,Corporate,Home & Kitchen,Blender,2,88.51,0.0,223.05,84.76,2024,2024-01,0.38
ORD-101709,2024-01-30,West,Small Business,Beauty,Shampoo,1,34.54,0.0,29.84,16.41,2024,2024-01,0.55
ORD-105905,2024-01-30,South,Consumer,Home & Kitchen,Lamp,3,142.63,0.05,362.8,137.86,2024,2024-01,0.38
ORD-101510,2024-01-30,North,Corporate,Beauty,Perfume,1,35.91,0.05,35.31,19.42,2024,2024-01,0.55
ORD-100257,2024-01-30,North,Consumer,Home & Kitchen,Air Fryer,4,37.34,0.1,162.32,61.68,2024,2024-01,0.38
ORD-102672,2024-01-30,South,Corporate,Beauty,Lipstick,4,8.33,0.0,25.49,14.02,2024,2024-01,0.55
ORD-103477,2024-01-30,North,Corporate,Home & Kitchen,Air Fryer,1,19.78,0.15,20.3,7.71,2024,2024-01,0.38
ORD-100873,2024-01-30,East,Corporate,Apparel,Cap,2,46.83,0.15,79.41,35.73,2024,2024-01,0.45
ORD-103008,2024-01-31,East,Consumer,Apparel,T-Shirt,3,87.4,0.0,261.54,117.69,2024,2024-01,0.45
ORD-105538,2024-01-31,East,Consumer,Sports,Running Shoes,4,81.91,0.1,247.7,104.03,2024,2024-01,0.42
ORD-101964,2024-01-31,Central,Consumer,Home & Kitchen,Vacuum Cleaner,5,137.72,0.2,433.82,64.6,2024,2024-01,0.149
